Date,Interest_Rate,Inflation_Rate
1954-07-01,0.8,26.86
1954-08-01,1.22,26.85
1954-09-01,1.07,26.81
1954-10-01,0.85,26.72
1954-11-01,0.83,26.78
1954-12-01,1.28,26.77
1955-01-01,1.39,26.77
1955-02-01,1.29,26.82
1955-03-01,1.35,26.79
1955-04-01,1.43,26.79
1955-05-01,1.43,26.77
1955-06-01,1.64,26.71
1955-07-01,1.68,26.76
1955-08-01,1.96,26.72
1955-09-01,2.18,26.85
1955-10-01,2.24,26.82
1955-11-01,2.35,26.88
1955-12-01,2.48,26.87
1956-01-01,2.45,26.83
1956-02-01,2.5,26.86
1956-03-01,2.5,26.89
1956-04-01,2.62,26.93
1956-05-01,2.75,27.03
1956-06-01,2.71,27.15
1956-07-01,2.75,27.29
1956-08-01,2.73,27.31
1956-09-01,2.95,27.35
1956-10-01,2.96,27.51
1956-11-01,2.88,27.51
1956-12-01,2.94,27.63
1957-01-01,2.84,27.67
1957-02-01,3.0,27.8
1957-03-01,2.96,27.86
1957-04-01,3.0,27.93
1957-05-01,3.0,28.0
1957-06-01,3.0,28.11
1957-07-01,2.99,28.19
1957-08-01,3.24,28.28
1957-09-01,3.47,28.32
1957-10-01,3.5,28.32
1957-11-01,3.28,28.41
1957-12-01,2.98,28.47
1958-01-01,2.72,28.64
1958-02-01,1.67,28.7
1958-03-01,1.2,28.87
1958-04-01,1.26,28.94
1958-05-01,0.63,28.94
1958-06-01,0.93,28.91
1958-07-01,0.68,28.89
1958-08-01,1.53,28.94
1958-09-01,1.76,28.91
1958-10-01,1.8,28.91
1958-11-01,2.27,28.95
1958-12-01,2.42,28.97
1959-01-01,2.48,29.01
1959-02-01,2.43,29.0
1959-03-01,2.8,28.97
1959-04-01,2.96,28.98
1959-05-01,2.9,29.04
1959-06-01,3.39,29.11
1959-07-01,3.47,29.15
1959-08-01,3.5,29.18
1959-09-01,3.76,29.25
1959-10-01,3.98,29.35
1959-11-01,4.0,29.35
1959-12-01,3.99,29.41
1960-01-01,3.99,29.37
1960-02-01,3.97,29.41
1960-03-01,3.84,29.41
1960-04-01,3.92,29.54
1960-05-01,3.85,29.57
1960-06-01,3.32,29.61
1960-07-01,3.23,29.55
1960-08-01,2.98,29.61
1960-09-01,2.6,29.61
1960-10-01,2.47,29.75
1960-11-01,2.44,29.78
1960-12-01,1.98,29.81
1961-01-01,1.45,29.84
1961-02-01,2.54,29.84
1961-03-01,2.02,29.84
